Date,mpshock_sum,mpshock,ff,logip,lopcpi,logwcp,unemps
8/1/1993,-2.793225887,0.026312297,3.03,4.204901553,4.97535348,4.403788,6.8
9/1/1993,-2.669348208,0.12387768,3.09,4.209672735,4.976733742,4.393337,6.7
10/1/1993,-2.669348208,0,2.99,4.217321494,4.980863136,4.395436,6.8
11/1/1993,-2.727810308,-0.0584621,3.02,4.221455806,4.983606622,4.41025,6.6
12/1/1993,-2.870963912,-0.143153604,2.96,4.226912574,4.985659308,4.424367,6.5
1/1/1994,-2.870963912,0,3.05,4.230691986,4.985659308,4.442651,6.6
2/1/1994,-2.686121592,0.18484232,3.25,4.230965344,4.988389685,4.458409,6.6
3/1/1994,-2.347357306,0.338764287,3.34,4.240990005,4.991112628,4.450619,6.5
4/1/1994,-2.347357306,0,3.56,4.246640666,4.991792206,4.469236,6.4
5/1/1994,-2.004611958,0.342745347,4.01,4.251748516,4.993828176,4.491217,6.1
6/1/1994,-2.004611958,0,4.25,4.258110297,4.99653637,4.524827,6.1
7/1/1994,-1.952153927,0.052458031,4.26,4.259641463,4.999911331,4.547435,6.1
8/1/1994,-1.48267352,0.469480407,4.47,4.265567254,5.003946306,4.551875,6
9/1/1994,-1.423973014,0.058700506,4.73,4.269371522,5.005957705,4.576565,5.9
10/1/1994,-1.423973014,0,4.76,4.27780436,5.006627273,4.569543,5.8
11/1/1994,-0.786476971,0.637496043,5.29,4.283949255,5.009301071,4.589549,5.6
12/1/1994,-0.944373148,-0.157896177,5.45,4.29439552,5.011301739,4.603168,5.5
1/1/1995,-0.944373148,0,5.53,4.296222256,5.013963084,4.615022,5.6
2/1/1995,-0.419670589,0.524702559,5.92,4.294594715,5.016617366,4.611649,5.4
3/1/1995,-0.215466757,0.204203831,5.98,4.296034284,5.018603464,4.618383,5.4
4/1/1995,-0.215466757,0,6.05,4.295395186,5.022563865,4.61413,5.8
5/1/1995,-0.031787714,0.183679043,6.01,4.29878632,5.024538199,4.603168,5.6
6/1/1995,-0.031787714,0,6,4.302174117,5.026508643,4.606569,5.6
7/1/1995,-0.003239738,0.028547976,5.85,4.2981884,5.027820119,4.611649,5.7
8/1/1995,-0.016574511,-0.013334773,5.74,4.310732009,5.029784113,4.598951,5.7
9/1/1995,0.066546298,0.083120809,5.8,4.314733657,5.031091303,4.587821,5.6
10/1/1995,0.066546298,0,5.76,4.31350285,5.033700567,4.581799,5.5
11/1/1995,0.145116046,0.078569748,5.8,4.316016364,5.035002651,4.610755,5.6
12/1/1995,0.026140919,-0.118975128,5.6,4.31982538,5.036303041,4.601463,5.6
1/1/1996,0.064533727,0.038392808,5.56,4.313267218,5.041487758,4.594716,5.6
2/1/1996,0.064533727,0,5.22,4.328552016,5.043425117,4.60407,5.5
3/1/1996,0.083717259,0.019183532,5.31,4.327611367,5.046645732,4.606569,5.5
4/1/1996,0.083717259,0,5.22,4.336718028,5.050496828,4.633272,5.6
5/1/1996,0.083138701,-0.000578558,5.24,4.344014491,5.052416828,4.653579,5.6
